State,Average 2018 Uemployment Rate
United States,3.9
Alabama,3.9
Alaska,6.6
Arizona,4.8
Arkansas,3.7
California,4.2
Colorado,3.3
Connecticut,4.1
Delaware,3.8
District of Columbia,5.6
Florida,3.6
Georgia,3.9
Hawaii,2.4
Idaho,2.8
Illinois,4.3
Indiana,3.4
Iowa,2.5
Kansas,3.4
Kentucky,4.3
Louisiana,4.9
Maine,3.4
Maryland,3.9
Massachusetts,3.3
Michigan,4.1
Minnesota,2.9
Mississippi,4.8
Missouri,3.2
Montana,3.7
Nebraska,2.8
Nevada,4.6
New Hampshire,2.5
New Jersey,4.1
New Mexico,4.9
New York,4.1
North Carolina,3.9
North Dakota,2.6
Ohio,4.6
Oklahoma,3.4
Oregon,4.2
Pennsylvania,4.3
Rhode Island,4.1
South Carolina,3.4
South Dakota,3.0
Tennessee,3.5
Texas,3.9
Utah,3.1
Vermont,2.7
Virginia,3.0
Washington,4.5
West Virginia,5.3
Wisconsin,3.0
Wyoming,4.1
,
U.S. Bureau of Labor Statistics,