State,Resident Population 2020 Census,Population Density 2020 Census,Density Rank
Alabama,5024279,99.2,29
Alaska,733391,1.3,52
Arizona,7151502,62.9,35
Arkansas,3011524,57.9,36
California,39538223,253.7,13
Colorado,5773714,55.7,39
Connecticut,3605944,744.7,6
Delaware,989948,508,8
District of Columbia,689545,11280,1
Florida,21538187,401.4,10
Georgia,10711908,185.6,19
Hawaii,1455271,226.6,15
Idaho,1839106,22.3,46
Illinois,12812508,230.8,14
Indiana,6785528,189.4,18
Iowa,3190369,57.1,38
Kansas,2937880,35.9,43
Kentucky,4505836,114.1,25
Louisiana,4657757,107.8,28
Maine,1362359,44.2,40
Maryland,6177224,636.1,7
Massachusetts,7029917,901.2,5
Michigan,10077331,178,20
Minnesota,5706494,71.7,32
Mississippi,2961279,63.1,34
Missouri,6154913,89.5,30
Montana,1084225,7.4,50
Nebraska,1961504,25.5,45
Nevada,3104614,28.3,44
New Hampshire,1377529,153.8,23
New Jersey,9288994,1263,2
New Mexico,2117522,17.5,47
New York,20201249,428.7,9
North Carolina,10439388,214.7,17
North Dakota,779094,11.3,49
Ohio,11799448,288.8,12
Oklahoma,3959353,57.7,37
Oregon,4237256,44.1,41
Pennsylvania,13002700,290.6,11
Rhode Island,1097379,1061.4,3
South Carolina,5118425,170.2,21
South Dakota,886667,11.7,48
Tennessee,6910840,167.6,22
Texas,29145505,111.6,26
Utah,3271616,39.7,42
Vermont,643077,69.8,33
Virginia,8631393,218.6,16
Washington,7705281,115.9,24
West Virginia,1793716,74.6,31
Wisconsin,5893718,108.8,27
Wyoming,576851,5.9,51
,,,
,https://www.census.gov/data/tables/time-series/dec/density-data-text.html,,