State,2020 Per capita personal income
United States,59510
Alabama,46479
Alaska,63502
Arizona,49648
Arkansas,47235
California,70192
Colorado,63776
Connecticut,78609
Delaware,56097
District of Columbia,86567
Florida,55675
Georgia,51780
Hawaii,58655
Idaho,48759
Illinois,62930
Indiana,51926
Iowa,53478
Kansas,56099
Kentucky,47339
Louisiana,50874
Maine,54211
Maryland,66799
Massachusetts,78458
Michigan,53259
Minnesota,62005
Mississippi,42129
Missouri,51697
Montana,53361
Nebraska,57570
Nevada,53720
New Hampshire,67097
New Jersey,73460
New Mexico,46338
New York,74472
North Carolina,50305
North Dakota,61530
Ohio,53641
Oklahoma,49878
Oregon,56312
Pennsylvania,61700
Rhode Island,60825
South Carolina,48021
South Dakota,59281
Tennessee,51046
Texas,55129
Utah,52204
Vermont,59187
Virginia,61958
Washington,67126
West Virginia,44994
Wisconsin,55593
Wyoming,61855
,
https://apps.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=1#reqid=70&step=1&isuri=1&acrdn=1,